Position X,Position Y,Position Z,Unit,Category,Collection,Name,Surpass Object,Time,ID
18.66200065612793,62.13100051879883,8.053999900817871,µm,Surface,Position,,prg1_mp,1,360
41.051998138427734,17.21299934387207,6.558000087738037,µm,Surface,Position,,prg1_ep,1,527
57.862998962402344,11.53499984741211,7.150000095367432,µm,Surface,Position,,prg1_tz,1,1053
24.75200080871582,134.50399780273438,8.5,µm,Surface,Position,,prg1_dk,1,30
34.47600173950195,60.28200149536133,8.5,µm,Surface,Position,,prg1_mp,1,4
31.224000930786133,75.19300079345703,6.428999900817871,µm,Surface,Position,,prg1_lp,1,162
14.706000328063965,70.2699966430664,8.394000053405762,µm,Surface,Position,,prg1_lp,1,712
32.98899841308594,72.83799743652344,4.914999961853027,µm,Surface,Position,,prg1_lp,1,171
54.93199920654297,39.319000244140625,7.395999908447266,µm,Surface,Position,,prg1_tz,1,677
30.878000259399414,46.303001403808594,7.513999938964844,µm,Surface,Position,,prg1_mp,1,452
70.21399688720703,39.69300079345703,8.022000312805176,µm,Surface,Position,,prg1_tz,1,188
80.927001953125,25.6560001373291,4.313000202178955,µm,Surface,Position,,prg1_tz,1,309
53.266998291015625,13.779999732971191,5.448999881744385,µm,Surface,Position,,prg1_tz,1,1142
27.506000518798828,68.03399658203125,8.5,µm,Surface,Position,,prg1_lp,1,444
64.34600067138672,18.285999298095703,4.946000099182129,µm,Surface,Position,,prg1_tz,1,835
32.470001220703125,51.527000427246094,8.475000381469727,µm,Surface,Position,,prg1_mp,1,242
39.74599838256836,48.80099868774414,5.166999816894531,µm,Surface,Position,,prg1_mp,1,144
41.90599822998047,22.024999618530273,6.340000152587891,µm,Surface,Position,,prg1_ep,1,311
17.051000595092773,52.30699920654297,5.892000198364258,µm,Surface,Position,,prg1_mp,1,616
38.944000244140625,87.12799835205078,3.0999999046325684,µm,Surface,Position,,prg1_pm,1,439
