Position X,Position Y,Name
38.500999450683594,141.54200744628906,A
39.457000732421875,120.55999755859375,B
40.560001373291016,110.82599639892578,C
43.90700149536133,99.40499877929688,D
48.821998596191406,81.40399932861328,E
54.426998138427734,66.40399932861328,F
61.47200012207031,53.31800079345703,G
67.04100036621094,44.590999603271484,H
72.58699798583984,25.79800033569336,I
69.01000213623047,14.930999755859375,J
61.051998138427734,11.458000183105469,K
50.43199920654297,11.520000457763672,L
45.42399978637695,19.481000900268555,M
41.882999420166016,26.756000518798828,N
36.71799850463867,37.50899887084961,O
23.645999908447266,69.875,P
17.91200065612793,91.12300109863281,Q
